Benchmark,SMT-AI,Pilat
pendulum_approx,undef,-
rotation_nondet_small_angle,undef,-
rotation_nondet_large_angle,undef,-
nonlin_example1,undef,-
nonlin_example2,undef,-
nonlin_example3,undef,-
arrow_hurwicz,undef,-
harmonic,undef,18.41
symplectic,undef,PF
filter_goubault,undef,PF
filter_mine1,undef,PF
filter_mine2,undef,1.16
filter_mine2_nondet,undef,4.92
pendulum_small,undef,12.53
ex1,475.06,498.37
ex1_reset,475.98,-
ex2,17.37,1.07
ex2_reset,17.36,-
ex3_leadlag,-,-
ex3_reset_leadlag,-,-
ex4_gaussian,0.61,-
ex4_reset_gaussian,17.05,-
ex5_coupled_mass,5538.47,TO
ex5_reset_coupled_mass,5538.34,-
ex6_butterworth,65.25,-
ex6_reset_butterworth,700.06,-
ex7_dampened,12.17,-
ex7_reset_dampened,12.17,-
ex8_harmonic,5.75,-
ex8_reset_harmonic,5.75,-
